state_name,county,Substate,mental_illness_percentage
Arkansas,Yell,Catchment Area 5,21.53%
Arkansas,Arkansas,Catchment Area 6,18.55%
Arkansas,Ashley,Catchment Area 6,18.55%
Arkansas,Bradley,Catchment Area 6,18.55%
Arkansas,Chicot,Catchment Area 6,18.55%
Arkansas,Cleveland,Catchment Area 6,18.55%
Arkansas,Desha,Catchment Area 6,18.55%
Arkansas,Drew,Catchment Area 6,18.55%
Arkansas,Grant,Catchment Area 6,18.55%
Arkansas,Jefferson,Catchment Area 6,18.55%
Arkansas,Lincoln,Catchment Area 6,18.55%
Arkansas,Calhoun,Catchment Area 7,18.89%
Arkansas,Columbia,Catchment Area 7,18.89%
Arkansas,Dallas,Catchment Area 7,18.89%
Arkansas,Hempstead,Catchment Area 7,18.89%
Arkansas,Howard,Catchment Area 7,18.89%
Arkansas,Lafayette,Catchment Area 7,18.89%
Arkansas,Little River,Catchment Area 7,18.89%
Arkansas,Miller,Catchment Area 7,18.89%
Arkansas,Nevada,Catchment Area 7,18.89%
Arkansas,Ouachita,Catchment Area 7,18.89%
Arkansas,Sevier,Catchment Area 7,18.89%
Arkansas,Union,Catchment Area 7,18.89%
Arkansas,Lonoke,Catchment Area 8,19.47%
Arkansas,Prairie,Catchment Area 8,19.47%
Arkansas,Pulaski,Catchment Area 8,19.47%
Arkansas,Saline,Catchment Area 8,19.47%
California,Butte,Region 1R,21.49%
California,Colusa,Region 1R,21.49%
California,Del Norte,Region 1R,21.49%
California,Glenn,Region 1R,21.49%
California,Humboldt,Region 1R,21.49%
California,Lake,Region 1R,21.49%
California,Lassen,Region 1R,21.49%
California,Mendocino,Region 1R,21.49%
California,Modoc,Region 1R,21.49%
California,Plumas,Region 1R,21.49%
California,Shasta,Region 1R,21.49%
California,Sierra,Region 1R,21.49%
California,Siskiyou,Region 1R,21.49%
California,Tehama,Region 1R,21.49%
California,Trinity,Region 1R,21.49%
California,El Dorado,Region 2R,19.04%
California,Nevada,Region 2R,19.04%
California,Placer,Region 2R,19.04%
California,Sutter,Region 2R,19.04%
California,Yolo,Region 2R,19.04%
California,Yuba,Region 2R,19.04%
California,Sacramento,Region 3R (Sacramento),19.48%
California,Marin,Region 4R,17.92%
California,Napa,Region 4R,17.92%
California,Solano,Region 4R,17.92%
California,Sonoma,Region 4R,17.92%
California,San Francisco,Region 5R (San Francisco),20.93%
California,Santa Clara,Region 6 (Santa Clara),17.44%
California,Contra Costa,Region 7R (Contra Costa),17.90%
California,Alameda,Region 8R (Alameda),18.94%
California,San Mateo,Region 9R (San Mateo),17.70%
California,Santa Barbara,Region 10,19.02%
California,Ventura,Region 10,19.02%
California,Los Angeles,Region 11 (Los Angeles),17.53%
California,Alpine,Region 12R,20.41%
California,Amador,Region 12R,20.41%
California,Calaveras,Region 12R,20.41%
California,Mono,Region 12R,20.41%
California,San Joaquin,Region 12R,20.41%
California,Tuolumne,Region 12R,20.41%
California,Imperial,Regions 13 and 19R,17.97%
California,Riverside,Regions 13 and 19R,17.97%
California,Orange,Region 14 (Orange),16.93%
California,Fresno,Region 15R (Fresno),19.69%
California,San Diego,Region 16R (San Diego),18.36%
California,Inyo,Region 17R,17.77%
California,Kern,Region 17R,17.77%
California,Kings,Region 17R,17.77%
California,Tulare,Region 17R,17.77%
California,San Bernardino,Region 18R (San Bernardino),17.57%
California,Madera,Region 20R,19.22%
California,Mariposa,Region 20R,19.22%
California,Merced,Region 20R,19.22%
California,Stanislaus,Region 20R,19.22%
California,Monterey,Region 21R,18.93%
California,San Benito,Region 21R,18.93%
California,San Luis Obispo,Region 21R,18.93%
California,Santa Cruz,Region 21R,18.93%
Colorado,Archuleta,Region 1,21.76%
Colorado,Delta,Region 1,21.76%
Colorado,Dolores,Region 1,21.76%
Colorado,Eagle,Region 1,21.76%
Colorado,Garfield,Region 1,21.76%
Colorado,Grand,Region 1,21.76%
Colorado,Gunnison,Region 1,21.76%
Colorado,Hinsdale,Region 1,21.76%
Colorado,Jackson,Region 1,21.76%
Colorado,La Plata,Region 1,21.76%
Colorado,Larimer,Region 1,21.76%
Colorado,Mesa,Region 1,21.76%
Colorado,Moffat,Region 1,21.76%
Colorado,Montezuma,Region 1,21.76%
Colorado,Montrose,Region 1,21.76%
Colorado,Ouray,Region 1,21.76%
Colorado,Pitkin,Region 1,21.76%
Colorado,Rio Blanco,Region 1,21.76%
Colorado,Routt,Region 1,21.76%
Colorado,San Juan,Region 1,21.76%
Colorado,San Miguel,Region 1,21.76%
Colorado,Summit,Region 1,21.76%
Colorado,Broomfield,Region 2,21.78%
Colorado,Cheyenne,Region 2,21.78%
Colorado,Kit Carson,Region 2,21.78%
Colorado,Lincoln,Region 2,21.78%
Colorado,Logan,Region 2,21.78%
Colorado,Morgan,Region 2,21.78%
Colorado,Phillips,Region 2,21.78%
Colorado,Sedgwick,Region 2,21.78%
Colorado,Washington,Region 2,21.78%
Colorado,Weld,Region 2,21.78%
Colorado,Yuma,Region 2,21.78%
Colorado,Adams,Region 3,19.18%
Colorado,Arapahoe,Region 3,19.18%
Colorado,Douglas,Region 3,19.18%
Colorado,Elbert,Region 3,19.18%
Colorado,Alamosa,Region 4,19.15%
Colorado,Baca,Region 4,19.15%
Colorado,Bent,Region 4,19.15%
Colorado,Chaffee,Region 4,19.15%
Colorado,Conejos,Region 4,19.15%
Colorado,Costilla,Region 4,19.15%
Colorado,Crowley,Region 4,19.15%
Colorado,Custer,Region 4,19.15%
Colorado,Fremont,Region 4,19.15%
Colorado,Huerfano,Region 4,19.15%
Colorado,Kiowa,Region 4,19.15%
Colorado,Lake,Region 4,19.15%
Colorado,Las Animas,Region 4,19.15%
Colorado,Mineral,Region 4,19.15%
Colorado,Otero,Region 4,19.15%
Colorado,Prowers,Region 4,19.15%
Colorado,Pueblo,Region 4,19.15%
Colorado,Rio Grande,Region 4,19.15%
Colorado,Saguache,Region 4,19.15%
Colorado,Denver,Region 5,22.76%
Colorado,Boulder,Region 6,21.82%
Colorado,Clear Creek,Region 6,21.82%
Colorado,Gilpin,Region 6,21.82%
Colorado,Jefferson,Region 6,21.82%
Colorado,El Paso,Region 7,20.32%
Colorado,Park,Region 7,20.32%
Colorado,Teller,Region 7,20.32%
Connecticut,FAIRFIELD,Southwest,18.57%
Connecticut,HARTFORD,Northwestern,18.41%
Connecticut,LITCHFIELD,Northwestern,18.41%
Connecticut,MIDDLESEX,South Central,17.43%
Connecticut,NEW HAVEN,Northwestern,18.41%
Connecticut,NEW LONDON,South Central,17.43%
Connecticut,TOLLAND,Eastern,20.15%
Connecticut,WINDHAM,Eastern,20.15%
Delaware,Kent,Kent,20.03%
Delaware,New Castle,New Castle (excluding Wilmington City),19.84%
Delaware,Sussex,Sussex,18.50%
Delaware,Wilmington City,Wilmington City,19.51%
District of Columbia,District of Columbia,District of Columbia,21.60%
Florida,Broward,Broward (Circuit 17),15.44%
Florida,Orange,Circuit 9,17.67%
Florida,Osceola,Circuit 9,17.67%
Florida,Brevard,Circuit 18,17.66%
Florida,Seminole,Circuit 18,17.66%
Florida,Pasco,Circuit 6,18.52%
Florida,Pinellas,Circuit 6,18.52%
Florida,Hardee,Circuit 10,16.77%
Florida,Highlands,Circuit 10,16.77%
Florida,Polk,Circuit 10,16.77%
Florida,De Soto,Circuit 12,16.99%
Florida,Manatee,Circuit 12,16.99%
Florida,Sarasota,Circuit 12,16.99%
Florida,Hillsborough,Circuit 13 (Hillsborough),18.98%
Florida,Charlotte,Circuit 20,17.75%
Florida,Collier,Circuit 20,17.75%
Florida,Glades,Circuit 20,17.75%
Florida,Hendry,Circuit 20,17.75%
Florida,Lee,Circuit 20,17.75%
Florida,Clay,Circuit 4,17.57%
Florida,Duval,Circuit 4,17.57%
Florida,Nassau,Circuit 4,17.57%
Florida,Citrus,Circuit 5,18.75%
Florida,Hernando,Circuit 5,18.75%
Florida,Lake,Circuit 5,18.75%
Florida,Marion,Circuit 5,18.75%
Florida,Sumter,Circuit 5,18.75%
Florida,Flagler,Circuit 7,16.92%
Florida,Putnam,Circuit 7,16.92%
Florida,ST JOHNS,Circuit 7,16.92%
Florida,Volusia,Circuit 7,16.92%
Florida,Alachua,Circuit 8 ,19.58%
Florida,Baker,Circuit 8 ,19.58%
Florida,Bradford,Circuit 8 ,19.58%
Florida,Columbia,Circuit 8 ,19.58%
Florida,Dixie,Circuit 8 ,19.58%
Florida,Gilchrist,Circuit 8 ,19.58%
Florida,Hamilton,Circuit 8 ,19.58%
Florida,Lafayette,Circuit 8 ,19.58%
Florida,Levy,Circuit 8 ,19.58%
Florida,Suwannee,Circuit 8 ,19.58%
Florida,Union,Circuit 8 ,19.58%
Florida,Escambia,Circuit 1,19.89%
Florida,Okaloosa,Circuit 1,19.89%
Florida,Santa Rosa,Circuit 1,19.89%
Florida,Walton,Circuit 1,19.89%
Florida,Franklin,Circuit 2,20.93%
Florida,Gadsden,Circuit 2,20.93%
Florida,Jefferson,Circuit 2,20.93%
Florida,Leon,Circuit 2,20.93%
Florida,Liberty,Circuit 2,20.93%
Florida,Madison,Circuit 2,20.93%
Florida,Taylor,Circuit 2,20.93%
Florida,Wakulla,Circuit 2,20.93%
Florida,Bay,Circuit 14,19.72%
Florida,Calhoun,Circuit 14,19.72%
Florida,Gulf,Circuit 14,19.72%
Florida,Holmes,Circuit 14,19.72%
Florida,Jackson,Circuit 14,19.72%
Florida,Washington,Circuit 14,19.72%
Florida,Miami-Dade,Circuit 11 and 16,14.56%
Florida,Monroe,Circuit 11 and 16,14.56%
Florida,Palm Beach,Circuit 15 (Palm Beach),16.58%
Florida,Indian River,Circuit 19,17.04%
Florida,Martin,Circuit 19,17.04%
Florida,Okeechobee,Circuit 19,17.04%
Florida,ST LUCIE,Circuit 19,17.04%
Georgia,Banks,Region 1,19.23%
Georgia,Bartow,Region 1,19.23%
Georgia,Catoosa,Region 1,19.23%
Georgia,Chattooga,Region 1,19.23%
Georgia,Cherokee,Region 1,19.23%
Georgia,Cobb,Region 1,19.23%
Georgia,Dade,Region 1,19.23%
Georgia,Dawson,Region 1,19.23%
Georgia,Douglas,Region 1,19.23%
Georgia,Fannin,Region 1,19.23%
Georgia,Floyd,Region 1,19.23%
Georgia,Forsyth,Region 1,19.23%
Georgia,Franklin,Region 1,19.23%
Georgia,Gilmer,Region 1,19.23%
Georgia,Gordon,Region 1,19.23%
Georgia,Habersham,Region 1,19.23%
Georgia,Hall,Region 1,19.23%
Georgia,Haralson,Region 1,19.23%
Georgia,Hart,Region 1,19.23%
Georgia,Lumpkin,Region 1,19.23%
Georgia,Murray,Region 1,19.23%
Georgia,Paulding,Region 1,19.23%
Georgia,Pickens,Region 1,19.23%
Georgia,Polk,Region 1,19.23%
Georgia,Rabun,Region 1,19.23%
Georgia,Stephens,Region 1,19.23%
Georgia,Towns,Region 1,19.23%
Georgia,Union,Region 1,19.23%
Georgia,Walker,Region 1,19.23%
Georgia,White,Region 1,19.23%
Georgia,Whitfield,Region 1,19.23%
Georgia,Baldwin,Region 2,18.12%
Georgia,Barrow,Region 2,18.12%
Georgia,Bibb,Region 2,18.12%
Georgia,Burke,Region 2,18.12%
Georgia,Clarke,Region 2,18.12%
Georgia,Columbia,Region 2,18.12%
Georgia,Elbert,Region 2,18.12%
Georgia,Emanuel,Region 2,18.12%
Georgia,Glascock,Region 2,18.12%
Georgia,Greene,Region 2,18.12%
Georgia,Hancock,Region 2,18.12%
Georgia,Jackson,Region 2,18.12%
Georgia,Jasper,Region 2,18.12%
Georgia,Jefferson,Region 2,18.12%
Georgia,Jenkins,Region 2,18.12%
Georgia,Jones,Region 2,18.12%
Georgia,Lincoln,Region 2,18.12%
Georgia,Madison,Region 2,18.12%
Georgia,McDuffie,Region 2,18.12%
Georgia,Monroe,Region 2,18.12%
Georgia,Morgan,Region 2,18.12%
Georgia,Oconee,Region 2,18.12%
Georgia,Oglethorpe,Region 2,18.12%
Georgia,Putnam,Region 2,18.12%
Georgia,Richmond,Region 2,18.12%
Georgia,Screven,Region 2,18.12%
Georgia,Taliaferro,Region 2,18.12%
Georgia,Twiggs,Region 2,18.12%
Georgia,Walton,Region 2,18.12%
Georgia,Warren,Region 2,18.12%
Georgia,Washington,Region 2,18.12%
Georgia,Wilkes,Region 2,18.12%
Georgia,Wilkinson,Region 2,18.12%
Georgia,Clayton,Region 3,16.12%
Georgia,DeKalb,Region 3,16.12%
Georgia,Fulton,Region 3,16.12%
Georgia,Gwinnett,Region 3,16.12%
Georgia,Newton,Region 3,16.12%
Georgia,Rockdale,Region 3,16.12%
Georgia,Baker,Region 4,19.14%
Georgia,Ben Hill,Region 4,19.14%
Georgia,Berrien,Region 4,19.14%
Georgia,Brooks,Region 4,19.14%
Georgia,Calhoun,Region 4,19.14%
Georgia,Colquitt,Region 4,19.14%
Georgia,Cook,Region 4,19.14%
Georgia,Decatur,Region 4,19.14%
Georgia,Dougherty,Region 4,19.14%
Georgia,Early,Region 4,19.14%
Georgia,Echols,Region 4,19.14%
Georgia,Grady,Region 4,19.14%
Georgia,Irwin,Region 4,19.14%
Georgia,Lanier,Region 4,19.14%
Georgia,Lee,Region 4,19.14%
Georgia,Lowndes,Region 4,19.14%
Georgia,Miller,Region 4,19.14%
Georgia,Mitchell,Region 4,19.14%
Georgia,Seminole,Region 4,19.14%
Georgia,Terrell,Region 4,19.14%
Georgia,Thomas,Region 4,19.14%
Georgia,Tift,Region 4,19.14%
Georgia,Turner,Region 4,19.14%
Georgia,Worth,Region 4,19.14%
Georgia,Appling,Region 5,18.80%
Georgia,Atkinson,Region 5,18.80%
Georgia,Bacon,Region 5,18.80%
Georgia,Bleckley,Region 5,18.80%
Georgia,Brantley,Region 5,18.80%
Georgia,Bryan,Region 5,18.80%
Georgia,Bulloch,Region 5,18.80%
Georgia,Camden,Region 5,18.80%
Georgia,Candler,Region 5,18.80%
Georgia,Charlton,Region 5,18.80%
Georgia,Chatham,Region 5,18.80%
Georgia,Clinch,Region 5,18.80%
Georgia,Coffee,Region 5,18.80%
Georgia,Dodge,Region 5,18.80%
Georgia,Effingham,Region 5,18.80%
Georgia,Evans,Region 5,18.80%
Georgia,Glynn,Region 5,18.80%
Georgia,Jeff Davis,Region 5,18.80%
Georgia,Johnson,Region 5,18.80%
Georgia,Laurens,Region 5,18.80%
Georgia,Liberty,Region 5,18.80%
Georgia,Long,Region 5,18.80%
Georgia,McIntosh,Region 5,18.80%
Georgia,Montgomery,Region 5,18.80%
Georgia,Pierce,Region 5,18.80%
Georgia,Pulaski,Region 5,18.80%
Georgia,Tattnall,Region 5,18.80%
Georgia,Telfair,Region 5,18.80%
Georgia,Toombs,Region 5,18.80%
Georgia,Treutlen,Region 5,18.80%
Georgia,Ware,Region 5,18.80%
Georgia,Wayne,Region 5,18.80%
Georgia,Wheeler,Region 5,18.80%
Georgia,Wilcox,Region 5,18.80%
Georgia,Butts,Region 6,19.32%
Georgia,Carroll,Region 6,19.32%
Georgia,Chattahoochee,Region 6,19.32%
Georgia,Clay,Region 6,19.32%
Georgia,Coweta,Region 6,19.32%
Georgia,Crawford,Region 6,19.32%
Georgia,Crisp,Region 6,19.32%
Georgia,Dooly,Region 6,19.32%
Georgia,Fayette,Region 6,19.32%
Georgia,Harris,Region 6,19.32%
Georgia,Heard,Region 6,19.32%
Georgia,Henry,Region 6,19.32%
Georgia,Houston,Region 6,19.32%
Georgia,Lamar,Region 6,19.32%
Georgia,Macon,Region 6,19.32%
Georgia,Marion,Region 6,19.32%
Georgia,Meriwether,Region 6,19.32%
Georgia,Muscogee,Region 6,19.32%
Georgia,Peach,Region 6,19.32%
Georgia,Pike,Region 6,19.32%
Georgia,Quitman,Region 6,19.32%
Georgia,Randolph,Region 6,19.32%
Georgia,Schley,Region 6,19.32%
Georgia,Spalding,Region 6,19.32%
Georgia,Stewart,Region 6,19.32%
Georgia,Sumter,Region 6,19.32%
Georgia,Talbot,Region 6,19.32%
Georgia,Taylor,Region 6,19.32%
Georgia,Troup,Region 6,19.32%
Georgia,Upson,Region 6,19.32%
Georgia,Webster,Region 6,19.32%
Idaho,Benewah,Region 1,24.24%
Idaho,Bonner,Region 1,24.24%
Idaho,Boundary,Region 1,24.24%
Idaho,Kootenai,Region 1,24.24%
Idaho,Shoshone,Region 1,24.24%
Idaho,Clearwater,Region 2,23.36%
Idaho,Idaho,Region 2,23.36%
Idaho,Latah,Region 2,23.36%
Idaho,Lewis,Region 2,23.36%
Idaho,Nez Perce,Region 2,23.36%
Idaho,Adams,Region 3,24.31%
Idaho,Canyon,Region 3,24.31%
Idaho,Gem,Region 3,24.31%
Idaho,Owyhee,Region 3,24.31%
Idaho,Payette,Region 3,24.31%
Idaho,Washington,Region 3,24.31%
Idaho,Ada,Region 4,25.56%
Idaho,Boise,Region 4,25.56%
Idaho,Elmore,Region 4,25.56%
Idaho,Valley,Region 4,25.56%
Idaho,Blaine,Region 5,23.08%
Idaho,Camas,Region 5,23.08%
Idaho,Cassia,Region 5,23.08%
Idaho,Gooding,Region 5,23.08%
Idaho,Jerome,Region 5,23.08%
Idaho,Lincoln,Region 5,23.08%
Idaho,Minidoka,Region 5,23.08%
Idaho,Twin Falls,Region 5,23.08%
Idaho,Bannock,Region 6,24.65%
Idaho,Bear Lake,Region 6,24.65%
Idaho,Caribou,Region 6,24.65%
Idaho,Franklin,Region 6,24.65%
Idaho,Oneida,Region 6,24.65%
Idaho,Power,Region 6,24.65%
Idaho,Bingham,Region 7,24.97%
Idaho,Bonneville,Region 7,24.97%
Idaho,Butte,Region 7,24.97%
Idaho,Clark,Region 7,24.97%
Idaho,Custer,Region 7,24.97%
Idaho,Fremont,Region 7,24.97%
Idaho,Jefferson,Region 7,24.97%
Idaho,Lemhi,Region 7,24.97%
Idaho,Madison,Region 7,24.97%
Idaho,Teton,Region 7,24.97%
Illinois,ADAMS,Region 4b,18.02%
Illinois,CHAMPAIGN,Region 3a (Champaign),20.27%
Illinois,COOK,Region 1 (Cook),16.39%
Illinois,DEKALB,Region 2d,17.88%
Illinois,DUPAGE,Region 2a (DuPage),16.72%
Illinois,KANE,Region 2b,16.12%
Illinois,KANKAKEE,Region 2d,17.88%
Illinois,KENDALL,Region 2d,17.88%
Illinois,LAKE,Region 2b,16.12%
Illinois,LASALLE,Region 3b,18.59%
Illinois,MCHENRY,Region 2b,16.12%
Illinois,MCLEAN,Region 3b,18.59%
Illinois,MACON,Region 4b,18.02%
Illinois,MADISON,Region 5a,18.82%
Illinois,PEORIA,Region 3b,18.59%
Illinois,ROCK ISLAND,Region 3b,18.59%
Illinois,ST CLAIR,Region 5a,18.82%
Illinois,SANGAMON,Region 4a (Sangamon),18.88%
Illinois,TAZEWELL,Region 3b,18.59%
Illinois,VERMILION,Region 3b,18.59%
Illinois,WILL,Region 2b,16.12%
Illinois,WILLIAMSON,Region 5b,17.59%
Illinois,WINNEBAGO,Region 2c (Winnebago),18.18%
Indiana,Boone,Central,19.41%
Indiana,Hamilton,Central,19.41%
Indiana,Hancock,Central,19.41%
Indiana,Hendricks,Central,19.41%
Indiana,Johnson,Central,19.41%
Indiana,Marion,Central,19.41%
Indiana,Morgan,Central,19.41%
Indiana,Shelby,Central,19.41%
Indiana,Blackford,East,22.90%
Indiana,Delaware,East,22.90%
Indiana,Fayette,East,22.90%
Indiana,Grant,East,22.90%
Indiana,Henry,East,22.90%
Indiana,Jay,East,22.90%
Indiana,Madison,East,22.90%
Indiana,Randolph,East,22.90%
Indiana,Rush,East,22.90%
Indiana,Union,East,22.90%
Indiana,Wayne,East,22.90%
Indiana,Cass,North Central,23.06%
Indiana,Elkhart,North Central,23.06%
Indiana,Fulton,North Central,23.06%
Indiana,Howard,North Central,23.06%
Indiana,Kosciusko,North Central,23.06%
Indiana,La Porte,North Central,23.06%
Indiana,Marshall,North Central,23.06%
Indiana,Miami,North Central,23.06%
Indiana,ST JOSEPH,North Central,23.06%
Indiana,Tipton,North Central,23.06%
Indiana,Wabash,North Central,23.06%
Indiana,Adams,Northeast,21.13%
Indiana,Allen,Northeast,21.13%
Indiana,DeKalb,Northeast,21.13%
Indiana,Huntington,Northeast,21.13%
Indiana,LaGrange,Northeast,21.13%
Indiana,Noble,Northeast,21.13%
Indiana,Steuben,Northeast,21.13%
Indiana,Wells,Northeast,21.13%
Indiana,Whitley,Northeast,21.13%
Indiana,Jasper,Northwest,20.02%
Indiana,Lake,Northwest,20.02%
Indiana,Newton,Northwest,20.02%
Indiana,Porter,Northwest,20.02%
Indiana,Pulaski,Northwest,20.02%
Indiana,Starke,Northwest,20.02%
Indiana,Bartholomew,Southeast,22.49%
Indiana,Brown,Southeast,22.49%
Indiana,Clark,Southeast,22.49%
Indiana,Crawford,Southeast,22.49%
Indiana,Dearborn,Southeast,22.49%
Indiana,Decatur,Southeast,22.49%
Indiana,Floyd,Southeast,22.49%
Indiana,Franklin,Southeast,22.49%
Indiana,Harrison,Southeast,22.49%
Indiana,Jackson,Southeast,22.49%
Indiana,Jefferson,Southeast,22.49%
Indiana,Jennings,Southeast,22.49%
Indiana,Lawrence,Southeast,22.49%
Indiana,Ohio,Southeast,22.49%
Indiana,Orange,Southeast,22.49%
Indiana,Ripley,Southeast,22.49%
Indiana,Scott,Southeast,22.49%
Indiana,Switzerland,Southeast,22.49%
Indiana,Washington,Southeast,22.49%
Indiana,Daviess,Southwest,21.46%
Indiana,Dubois,Southwest,21.46%
Indiana,Gibson,Southwest,21.46%
Indiana,Greene,Southwest,21.46%
Indiana,Knox,Southwest,21.46%
Indiana,Martin,Southwest,21.46%
Indiana,Perry,Southwest,21.46%
Indiana,Pike,Southwest,21.46%
Indiana,Posey,Southwest,21.46%
Indiana,Spencer,Southwest,21.46%
Indiana,Vanderburgh,Southwest,21.46%
Indiana,Warrick,Southwest,21.46%
Indiana,Benton,West,25.09%
Indiana,Carroll,West,25.09%
Indiana,Clay,West,25.09%
Indiana,Clinton,West,25.09%
Indiana,Fountain,West,25.09%
Indiana,Monroe,West,25.09%
Indiana,Montgomery,West,25.09%
Indiana,Owen,West,25.09%
Indiana,Parke,West,25.09%
Indiana,Putnam,West,25.09%
Indiana,Sullivan,West,25.09%
Indiana,Tippecanoe,West,25.09%
