county,state_name,month,days_of_rain,lowCelsius
Orange,California,septiembre,0,17
Orange,California,October,1,14
Orange,California,November,2,9
Orange,California,December,3,7
Placer,California,May,4,10
Placer,California,June,2,15
Placer,California,July,0,19
Placer,California,August,0,18
Placer,California,January,9,4
Placer,California,February,9,4
Placer,California,March,10,5
Placer,California,April,6,6
Placer,California,septiembre,2,16
Placer,California,October,4,11
Placer,California,November,8,7
Placer,California,December,9,4
Sacramento,California,May,2,9
Sacramento,California,June,0,12
Sacramento,California,July,0,15
Sacramento,California,August,0,14
Sacramento,California,January,7,3
Sacramento,California,February,7,4
Sacramento,California,March,7,6
Sacramento,California,April,3,7
Sacramento,California,septiembre,1,13
Sacramento,California,October,2,10
Sacramento,California,November,5,6
Sacramento,California,December,7,4
San Diego,California,May,0,15
San Diego,California,June,0,17
San Diego,California,July,0,19
San Diego,California,August,0,20
San Diego,California,January,4,10
San Diego,California,February,4,11
San Diego,California,March,4,12
San Diego,California,April,2,14
San Diego,California,septiembre,0,19
San Diego,California,October,1,16
San Diego,California,November,2,12
San Diego,California,December,4,10
San Francisco,California,May,2,11
San Francisco,California,June,0,12
San Francisco,California,July,0,12
San Francisco,California,August,0,13
San Francisco,California,January,8,8
San Francisco,California,February,8,9
San Francisco,California,March,8,10
San Francisco,California,April,4,10
San Francisco,California,septiembre,0,13
San Francisco,California,October,2,13
San Francisco,California,November,6,11
San Francisco,California,December,8,8
San Joaquin,California,May,2,11
San Joaquin,California,June,0,14
San Joaquin,California,July,0,16
San Joaquin,California,August,0,16
San Joaquin,California,January,7,3
San Joaquin,California,February,6,5
San Joaquin,California,March,6,6
San Joaquin,California,April,3,8
San Joaquin,California,septiembre,0,14
San Joaquin,California,October,2,10
San Joaquin,California,November,4,6
San Joaquin,California,December,6,3
San Luis Obispo,California,May,2,7
San Luis Obispo,California,June,0,9
San Luis Obispo,California,July,0,10
San Luis Obispo,California,August,0,10
San Luis Obispo,California,January,6,3
San Luis Obispo,California,February,7,3
San Luis Obispo,California,March,6,4
San Luis Obispo,California,April,3,5
San Luis Obispo,California,septiembre,0,10
San Luis Obispo,California,October,2,8
San Luis Obispo,California,November,3,5
San Luis Obispo,California,December,5,3
San Mateo,California,May,2,8
San Mateo,California,June,1,9
San Mateo,California,July,0,10
San Mateo,California,August,0,11
San Mateo,California,January,9,5
San Mateo,California,February,9,5
San Mateo,California,March,9,6
San Mateo,California,April,5,6
San Mateo,California,septiembre,1,10
San Mateo,California,October,3,8
San Mateo,California,November,6,6
San Mateo,California,December,9,5
Santa Barbara,California,May,2,12
Santa Barbara,California,June,1,14
Santa Barbara,California,July,0,15
Santa Barbara,California,August,0,15
Santa Barbara,California,January,5,7
Santa Barbara,California,February,5,8
Santa Barbara,California,March,5,9
Santa Barbara,California,April,3,10
Santa Barbara,California,septiembre,1,15
Santa Barbara,California,October,3,13
Santa Barbara,California,November,4,10
Santa Barbara,California,December,6,7
Santa Clara,California,May,2,11
Santa Clara,California,June,0,13
Santa Clara,California,July,0,15
Santa Clara,California,August,0,15
Santa Clara,California,January,7,6
Santa Clara,California,February,7,7
Santa Clara,California,March,7,8
Santa Clara,California,April,4,9
Santa Clara,California,septiembre,0,14
Santa Clara,California,October,2,12
Santa Clara,California,November,4,8
Santa Clara,California,December,6,6
Santa Cruz,California,May,2,8
Santa Cruz,California,June,0,9
Santa Cruz,California,July,0,11
Santa Cruz,California,August,0,11
Santa Cruz,California,January,8,4
Santa Cruz,California,February,8,5
Santa Cruz,California,March,8,5
Santa Cruz,California,April,4,6
Santa Cruz,California,septiembre,0,10
Santa Cruz,California,October,2,8
Santa Cruz,California,November,6,6
Santa Cruz,California,December,8,3
Shasta,California,May,5,-1
Shasta,California,June,3,2
Shasta,California,July,0,4
Shasta,California,August,1,2
Shasta,California,January,9,-10
Shasta,California,February,9,-8
Shasta,California,March,10,-7
Shasta,California,April,7,-5
Shasta,California,septiembre,2,-1
Shasta,California,October,4,-5
Shasta,California,November,8,-7
Shasta,California,December,9,-10
Solano,California,May,2,11
Solano,California,June,0,13
Solano,California,July,0,14
Solano,California,August,0,14
Solano,California,January,7,4
Solano,California,February,7,6
Solano,California,March,7,7
Solano,California,April,3,9
Solano,California,septiembre,0,14
Solano,California,October,2,11
Solano,California,November,5,7
Solano,California,December,7,4
Sonoma,California,May,2,7
Sonoma,California,June,0,9
Sonoma,California,July,0,10
Sonoma,California,August,0,9
Sonoma,California,January,10,1
Sonoma,California,February,9,2
Sonoma,California,March,9,4
Sonoma,California,April,5,5
Sonoma,California,septiembre,2,9
Sonoma,California,October,3,6
Sonoma,California,November,7,3
Sonoma,California,December,9,1
Stanislaus,California,May,2,13
Stanislaus,California,June,0,16
Stanislaus,California,July,0,18
Stanislaus,California,August,0,17
Stanislaus,California,January,6,4
Stanislaus,California,February,6,6
Stanislaus,California,March,6,8
Stanislaus,California,April,3,10
Stanislaus,California,septiembre,0,15
Stanislaus,California,October,2,12
Stanislaus,California,November,4,7
Stanislaus,California,December,6,4
Sutter,California,May,2,12
Sutter,California,June,0,15
Sutter,California,July,0,17
Sutter,California,August,0,16
Sutter,California,January,7,4
Sutter,California,February,6,5
Sutter,California,March,7,7
Sutter,California,April,5,9
Sutter,California,septiembre,0,14
Sutter,California,October,3,10
Sutter,California,November,5,6
Sutter,California,December,8,4
Tulare,California,May,2,16
Tulare,California,June,0,22
Tulare,California,July,0,25
Tulare,California,August,0,24
Tulare,California,January,5,8
Tulare,California,February,5,9
Tulare,California,March,5,10
Tulare,California,April,3,12
Tulare,California,septiembre,0,22
Tulare,California,October,1,17
Tulare,California,November,3,11
Tulare,California,December,5,8
Ventura,California,May,1,8
Ventura,California,June,0,10
Ventura,California,July,0,12
Ventura,California,August,0,11
Ventura,California,January,6,3
Ventura,California,February,4,4
Ventura,California,March,4,5
Ventura,California,April,3,6
Ventura,California,septiembre,1,11
Ventura,California,October,2,8
Ventura,California,November,2,5
Ventura,California,December,5,3
Yolo,California,May,2,12
Yolo,California,June,0,14
Yolo,California,July,0,15
Yolo,California,August,0,15
Yolo,California,January,8,4
Yolo,California,February,7,5
Yolo,California,March,7,7
Yolo,California,April,3,9
Yolo,California,septiembre,0,14
Yolo,California,October,2,11
Yolo,California,November,5,6
Yolo,California,December,7,3
Yuba,California,May,3,12
Yuba,California,June,1,15
Yuba,California,July,0,18
Yuba,California,August,0,17
Yuba,California,January,9,4
Yuba,California,February,8,6
Yuba,California,March,9,8
Yuba,California,April,5,9
Yuba,California,septiembre,1,15
Yuba,California,October,3,11
Yuba,California,November,7,7
Yuba,California,December,9,4
Adams,Colorado,May,6,5
Adams,Colorado,June,5,10
Adams,Colorado,July,6,14
Adams,Colorado,August,5,13
Adams,Colorado,January,2,-11
Adams,Colorado,February,2,-9
Adams,Colorado,March,3,-4
Adams,Colorado,April,5,0
Adams,Colorado,septiembre,3,8
Adams,Colorado,October,3,1
Adams,Colorado,November,3,-6
Adams,Colorado,December,2,-10
Arapahoe,Colorado,May,6,4
Arapahoe,Colorado,June,5,9
Arapahoe,Colorado,July,6,13
Arapahoe,Colorado,August,5,12
Arapahoe,Colorado,January,2,-12
Arapahoe,Colorado,February,2,-10
Arapahoe,Colorado,March,3,-5
Arapahoe,Colorado,April,5,-1
Arapahoe,Colorado,septiembre,3,7
Arapahoe,Colorado,October,3,0
Arapahoe,Colorado,November,3,-7
Arapahoe,Colorado,December,2,-11
Boulder,Colorado,May,7,-1
Boulder,Colorado,June,5,3
Boulder,Colorado,July,8,5
Boulder,Colorado,August,7,4
Boulder,Colorado,January,5,-12
Boulder,Colorado,February,4,-11
Boulder,Colorado,March,6,-9
Boulder,Colorado,April,6,-6
Boulder,Colorado,septiembre,6,0
Boulder,Colorado,October,4,-4
Boulder,Colorado,November,5,-8
Boulder,Colorado,December,5,-11
Broomfield,Colorado,May,8,9
Broomfield,Colorado,June,4,14
Broomfield,Colorado,July,6,17
Broomfield,Colorado,August,5,16
Broomfield,Colorado,January,3,-3
Broomfield,Colorado,February,3,-3
Broomfield,Colorado,March,5,1
Broomfield,Colorado,April,6,4
Broomfield,Colorado,septiembre,4,12
Broomfield,Colorado,October,5,6
